,Daly,Gnangara,Robson,Temora,Tullochgorum,Weany,Yanco,Hamilton,Bishes,Bennets,Bullawarrie,Scotts Peak,BSC conservatively grazed (C3),Alice Mulga,BCS Brigalow Woodland (C1),BCS Heavily Grazed (C5),Borrowa,Litchfield
2020-02-16,-1.4082802534103394,-5.830653667449951,-2.538766622543335,-6.696795463562012,-4.737821102142334,-3.2141566276550293,-6.881926536560059,-5.330628871917725,-6.463278770446777,-6.4529709815979,-6.417774677276611,-4.563673496246338,-5.120923042297363,-6.5615434646606445,-5.153006076812744,-5.153006076812744,-6.11250638961792,-0.9786393046379089
2020-02-17,-1.4913074970245361,-4.811079978942871,-2.5992801189422607,-7.472339630126953,-5.076852798461914,-3.6477108001708984,-7.707186698913574,-6.40345573425293,-7.440244197845459,-7.449198246002197,-6.310463905334473,-4.769631385803223,-5.030105113983154,-6.3919148445129395,-5.052728176116943,-5.052728176116943,-6.806150913238525,-0.8923842310905457
2020-02-18,-1.6444343328475952,-5.004710674285889,-2.68475079536438,-8.32745361328125,-5.774974346160889,-3.60144305229187,-8.382201194763184,-6.6387128829956055,-7.977304935455322,-7.99456787109375,-6.136771202087402,-5.442771911621094,-4.804227352142334,-6.374431133270264,-4.833711624145508,-4.833711624145508,-7.799379348754883,-1.0361607074737549
2020-02-19,-1.6388109922409058,-5.806112289428711,-2.733999490737915,-8.674299240112305,-5.217867851257324,-3.773508310317993,-8.543129920959473,-5.807685852050781,-7.438525199890137,-7.442436695098877,-7.14904260635376,-4.451430797576904,-5.0094194412231445,-6.098606109619141,-5.044581413269043,-5.044581413269043,-8.117532730102539,-0.9074047803878784
2020-02-20,-1.5186176300048828,-6.228120803833008,-2.790205240249634,-7.355905532836914,-4.169405460357666,-4.016541957855225,-7.270917892456055,-4.7420501708984375,-5.767827987670898,-5.7893829345703125,-6.932255744934082,-3.8161563873291016,-5.524986267089844,-6.057638168334961,-5.552980422973633,-5.552980422973633,-7.083697319030762,-0.9085794687271118
2020-02-21,-1.2935864925384521,-6.424944877624512,-2.7674827575683594,-6.943905830383301,-4.455798625946045,-4.143260478973389,-6.974234104156494,-5.135753631591797,-6.253506183624268,-6.286098003387451,-6.3689165115356445,-3.998128890991211,-5.520216941833496,-6.050870418548584,-5.550202369689941,-5.550202369689941,-6.5067667961120605,-0.9958768486976624
2020-02-22,-1.2134573459625244,-5.927661418914795,-2.6396918296813965,-7.132328033447266,-3.944395065307617,-3.9827399253845215,-7.206455707550049,-4.505257606506348,-6.3614888191223145,-6.34329891204834,-6.584254741668701,-3.8733632564544678,-5.112647533416748,-6.14683198928833,-5.1255292892456055,-5.1255292892456055,-6.8076887130737305,-0.8020786046981812
2020-02-23,-1.291929841041565,-5.830258846282959,-2.155435085296631,-7.721515655517578,-4.472522735595703,-3.5598371028900146,-7.878941059112549,-5.06068229675293,-7.1081695556640625,-7.109499454498291,-6.732051849365234,-3.8114757537841797,-5.250666618347168,-5.615616798400879,-5.277017116546631,-5.277017116546631,-7.208608627319336,-0.7878944873809814
2020-02-24,-1.1357249021530151,-6.024074077606201,-2.339778184890747,-7.8576154708862305,-4.99241304397583,-3.0735185146331787,-8.04188346862793,-5.325739860534668,-7.116475582122803,-7.130740642547607,-6.6329665184021,-4.550481796264648,-4.821588516235352,-5.752281665802002,-4.8558149337768555,-4.8558149337768555,-7.366722106933594,-0.7669258117675781
2020-02-25,-1.089856505393982,-6.417872905731201,-2.396355152130127,-8.02042293548584,-5.763776779174805,-3.2569055557250977,-8.181180000305176,-5.735947132110596,-7.623193740844727,-7.623655319213867,-6.2720537185668945,-4.895665168762207,-4.305243492126465,-5.967472076416016,-4.327230930328369,-4.327230930328369,-7.591426372528076,-0.6625658869743347
2020-02-26,-0.9430369138717651,-6.895874500274658,-2.445770263671875,-8.161908149719238,-4.785152912139893,-3.1159822940826416,-8.161356925964355,-5.160190582275391,-7.3987836837768555,-7.400750637054443,-6.007719039916992,-3.548722743988037,-4.260248184204102,-5.781539440155029,-4.277063369750977,-4.277063369750977,-7.790136337280273,-0.6899857521057129
2020-02-27,-0.8671451807022095,-6.683109283447266,-2.5287935733795166,-7.822390079498291,-3.8476972579956055,-3.2512388229370117,-7.408365726470947,-3.6137609481811523,-5.598910331726074,-5.593432903289795,-6.581506729125977,-3.048987865447998,-4.616637706756592,-5.907651424407959,-4.636903285980225,-4.636903285980225,-7.4308671951293945,-0.5152300596237183
2020-02-28,-1.3151935338974,-6.426713466644287,-2.448651075363159,-6.16813850402832,-2.8360064029693604,-3.0563485622406006,-5.430875778198242,-3.3772592544555664,-4.231385231018066,-4.231942653656006,-6.146771430969238,-2.152592182159424,-4.962461948394775,-5.549091339111328,-4.983859062194824,-4.983859062194824,-6.297476768493652,-0.8643206357955933
2020-02-29,-1.4831737279891968,-6.198009014129639,-2.7456908226013184,-4.496309757232666,-3.153878688812256,-3.1546051502227783,-4.123056888580322,-3.9477155208587646,-3.2545976638793945,-3.3127810955047607,-4.415189743041992,-3.32708740234375,-3.1920766830444336,-3.603671073913574,-3.1515519618988037,-3.1515519618988037,-4.251856327056885,-0.6040176153182983
2020-03-01,-0.7140508890151978,-5.452547073364258,-2.2649989128112793,-5.254507541656494,-3.1385676860809326,-3.0998785495758057,-5.351657867431641,-3.4060752391815186,-4.518334865570068,-4.488561630249023,-5.009125232696533,-2.6754066944122314,-4.277070045471191,-4.284204959869385,-4.278266906738281,-4.278266906738281,-4.459866046905518,-0.4755541682243347
2020-03-02,-1.0637378692626953,-4.960005283355713,-2.4254097938537598,-5.615187644958496,-4.227999210357666,-2.790663719177246,-5.792132377624512,-4.972134590148926,-6.075594425201416,-6.0608811378479,-4.965278148651123,-3.7441277503967285,-3.603379487991333,-4.215438365936279,-3.61108136177063,-3.61108136177063,-4.92267370223999,-0.6623663306236267
2020-03-03,-1.0298874378204346,-5.0175909996032715,-2.329953193664551,-6.7740068435668945,-4.933984279632568,-2.395782947540283,-6.732875347137451,-4.677765846252441,-6.060512542724609,-6.062758445739746,-5.412868499755859,-4.189902305603027,-3.302093029022217,-4.355003833770752,-3.300696611404419,-3.300696611404419,-6.253319263458252,-0.47370174527168274
2020-03-04,-0.8724338412284851,-5.5778679847717285,-2.1203629970550537,-6.348997116088867,-4.043006420135498,-2.4984941482543945,-5.983083248138428,-4.31742000579834,-5.390937328338623,-5.389266014099121,-5.702889442443848,-3.220689058303833,-3.632150888442993,-4.164369583129883,-3.647550106048584,-3.647550106048584,-5.927021026611328,-0.3534865081310272
2020-03-05,-0.8489162921905518,-6.00429105758667,-2.009183883666992,-5.577448844909668,-3.326751232147217,-2.5345633029937744,-5.57941198348999,-4.088418006896973,-5.556651592254639,-5.518919944763184,-4.921377182006836,-2.825148105621338,-3.7089667320251465,-4.268802642822266,-3.7240896224975586,-3.7240896224975586,-5.018309116363525,-0.6382403373718262
2020-03-06,-1.048387885093689,-6.231345176696777,-2.087193489074707,-5.89091157913208,-3.5540077686309814,-2.958176851272583,-5.933592319488525,-3.910672187805176,-5.468642234802246,-5.436618328094482,-4.387664318084717,-2.861419677734375,-3.9599382877349854,-4.209227085113525,-3.9483449459075928,-3.9483449459075928,-5.358740329742432,-0.5735756158828735
2020-03-07,-1.207368016242981,-5.87783670425415,-2.3225057125091553,-5.614357948303223,-3.7387731075286865,-2.9176764488220215,-5.58279275894165,-3.9642903804779053,-5.242720127105713,-5.225696563720703,-4.6142048835754395,-2.9875285625457764,-4.034178256988525,-4.717093467712402,-4.039254665374756,-4.039254665374756,-5.085163593292236,-0.7309496998786926
2020-03-08,-1.0844058990478516,-5.590179920196533,-2.254112482070923,-5.720865726470947,-3.9056692123413086,-3.016528844833374,-5.790778160095215,-4.260341644287109,-5.401696681976318,-5.404845237731934,-4.665919303894043,-3.401484489440918,-3.9782228469848633,-4.809055328369141,-3.986506462097168,-3.986506462097168,-5.03252649307251,-0.8970273733139038
2020-03-09,-1.187393307685852,-5.300856590270996,-2.126164197921753,-5.56702184677124,-3.946755886077881,-2.8976261615753174,-5.4805588722229,-4.3088698387146,-5.519783020019531,-5.508310317993164,-5.008620262145996,-3.208711862564087,-4.072266578674316,-4.487065315246582,-4.0856499671936035,-4.0856499671936035,-5.091928482055664,-1.1014516353607178
2020-03-10,-1.3465651273727417,-4.982685089111328,-1.7231333255767822,-5.971554279327393,-3.7365894317626953,-2.805227279663086,-5.833724498748779,-4.2127861976623535,-5.466658592224121,-5.450472831726074,-5.386903762817383,-3.060553550720215,-3.830051898956299,-4.333688259124756,-3.8447141647338867,-3.8447141647338867,-5.508137226104736,-1.1700972318649292
2020-03-11,-1.4507378339767456,-5.02848482131958,-1.3875398635864258,-5.7863616943359375,-3.4383716583251953,-2.229779005050659,-5.743945121765137,-4.208804130554199,-5.132728576660156,-5.137688636779785,-5.670180320739746,-3.2814435958862305,-4.047784328460693,-4.44780158996582,-4.0757012367248535,-4.0757012367248535,-5.2794365882873535,-1.1278899908065796
2020-03-12,-1.8109225034713745,-5.193518161773682,-1.4376282691955566,-5.752017021179199,-3.3641602993011475,-2.358271837234497,-5.513376712799072,-3.9286608695983887,-4.870182991027832,-4.864560127258301,-5.183852195739746,-3.4308202266693115,-3.789489984512329,-4.188431739807129,-3.8026862144470215,-3.8026862144470215,-5.352172374725342,-1.564056634902954
2020-03-13,-1.619502305984497,-5.143747329711914,-1.4809783697128296,-5.317471027374268,-3.4696855545043945,-2.5235681533813477,-4.967111110687256,-3.3834712505340576,-4.3337225914001465,-4.335370063781738,-5.256670951843262,-2.918588161468506,-3.582637071609497,-4.228384971618652,-3.6085045337677,-3.6085045337677,-5.010534286499023,-1.354162335395813
2020-03-14,-1.3824297189712524,-4.8776044845581055,-1.5575393438339233,-5.455867290496826,-2.9648663997650146,-2.477167844772339,-4.815549850463867,-2.9060347080230713,-3.939012050628662,-3.92350697517395,-5.48822021484375,-2.1825790405273438,-3.666388750076294,-3.9816811084747314,-3.685032606124878,-3.685032606124878,-5.370907306671143,-1.0230112075805664
2020-03-15,-1.0906726121902466,-4.070370674133301,-1.5696661472320557,-5.176091194152832,-3.01322865486145,-2.7034800052642822,-4.658817768096924,-2.860753059387207,-3.801593065261841,-3.8141870498657227,-5.4734883308410645,-2.2595999240875244,-4.0825324058532715,-4.480325222015381,-4.111027240753174,-4.111027240753174,-4.996521949768066,-1.0028462409973145
2020-03-16,-1.303450345993042,-3.65960431098938,-1.8527097702026367,-4.193196773529053,-2.6791157722473145,-2.9153687953948975,-3.8696303367614746,-2.517819404602051,-3.263697385787964,-3.2677199840545654,-5.687476634979248,-2.16736102104187,-4.172403335571289,-4.4215168952941895,-4.19991397857666,-4.19991397857666,-4.013930797576904,-1.0664371252059937
2020-03-17,-1.405848503112793,-3.9547083377838135,-1.8723937273025513,-4.325182914733887,-3.3696913719177246,-2.9703402519226074,-4.258660793304443,-3.87725830078125,-4.316740036010742,-4.317774772644043,-4.535207748413086,-2.9176435470581055,-4.308203220367432,-4.4736409187316895,-4.3272247314453125,-4.3272247314453125,-3.984905242919922,-1.2719199657440186
2020-03-18,-1.3240935802459717,-4.115312099456787,-1.8631048202514648,-4.887042045593262,-3.332216739654541,-3.1003899574279785,-4.543959617614746,-3.1391799449920654,-3.9290642738342285,-3.934056282043457,-4.848638534545898,-2.566615581512451,-3.925204038619995,-4.755183696746826,-3.945038080215454,-3.945038080215454,-4.701717853546143,-1.0516231060028076
2020-03-19,-1.487559199333191,-4.030514240264893,-1.7004618644714355,-4.9271979331970215,-3.01948881149292,-2.699244260787964,-4.457097053527832,-2.841226816177368,-3.5733768939971924,-3.6178929805755615,-5.049708366394043,-2.152824640274048,-3.7964015007019043,-4.625866413116455,-3.8284707069396973,-3.8284707069396973,-4.815040588378906,-1.2880700826644897
2020-03-20,-1.6099159717559814,-4.856323719024658,-1.544403314590454,-4.25408411026001,-2.2411396503448486,-2.3389241695404053,-3.9315993785858154,-3.0269734859466553,-3.508517026901245,-3.526228189468384,-5.025432586669922,-2.034907102584839,-3.693302869796753,-4.282118320465088,-3.7176055908203125,-3.7176055908203125,-4.013887882232666,-1.3187615871429443
2020-03-21,-2.050175428390503,-4.4522929191589355,-1.71747887134552,-3.292663335800171,-2.1940226554870605,-2.3780369758605957,-3.076537609100342,-2.51125168800354,-2.756746768951416,-2.777606248855591,-4.270830154418945,-2.002877950668335,-3.8087916374206543,-3.8412158489227295,-3.838696002960205,-3.838696002960205,-3.075281858444214,-1.721021056175232
2020-03-22,-2.069389820098877,-3.132659912109375,-1.751270055770874,-3.438537836074829,-2.7695796489715576,-2.7762773036956787,-3.5122694969177246,-3.1674957275390625,-3.280621290206909,-3.3129208087921143,-3.588142156600952,-2.668400764465332,-3.6167960166931152,-3.874741315841675,-3.618551015853882,-3.618551015853882,-3.1240904331207275,-1.7394274473190308
2020-03-23,-2.051879405975342,-2.543828248977661,-1.6885308027267456,-3.7534632682800293,-2.2129507064819336,-2.4500198364257812,-3.3434245586395264,-2.674168109893799,-2.656010389328003,-2.683894395828247,-3.708803653717041,-1.8582332134246826,-3.3344197273254395,-3.4370806217193604,-3.3357295989990234,-3.3357295989990234,-3.592397928237915,-1.6933205127716064
2020-03-24,-1.680387020111084,-2.3714523315429688,-1.5886815786361694,-3.118006706237793,-2.036071300506592,-2.381455421447754,-3.0275750160217285,-2.7533676624298096,-2.8241798877716064,-2.837550163269043,-3.818091630935669,-2.361799955368042,-3.1621768474578857,-2.676180839538574,-3.161041498184204,-3.161041498184204,-2.800750732421875,-1.6362249851226807
2020-03-25,-1.8590295314788818,-2.4105348587036133,-1.5050157308578491,-3.506984233856201,-2.756748676300049,-2.267934799194336,-3.455092191696167,-3.288651704788208,-3.2118923664093018,-3.255431890487671,-3.149287223815918,-3.0426418781280518,-3.023836612701416,-2.768177032470703,-3.020451068878174,-3.020451068878174,-3.309680461883545,-1.6427007913589478
2020-03-26,-2.0592846870422363,-2.502819538116455,-1.5031143426895142,-3.3247897624969482,-2.8555660247802734,-2.376556396484375,-3.1716837882995605,-3.2418060302734375,-3.3163931369781494,-3.34671688079834,-2.920701265335083,-2.633289098739624,-3.0795042514801025,-2.878166437149048,-3.072896718978882,-3.072896718978882,-3.262572765350342,-1.7628931999206543
2020-03-27,-1.9225335121154785,-2.4589617252349854,-1.498041033744812,-3.697462558746338,-2.468723773956299,-2.368741750717163,-3.4296860694885254,-2.1826884746551514,-2.5298385620117188,-2.5451745986938477,-2.7763073444366455,-2.0760529041290283,-3.0489537715911865,-2.7505509853363037,-3.0463924407958984,-3.0463924407958984,-3.505417585372925,-1.729284644126892
2020-03-28,-1.7390586137771606,-2.611504554748535,-1.548707365989685,-2.621634006500244,-1.734943151473999,-2.4920639991760254,-2.214540719985962,-1.994970679283142,-1.679879069328308,-1.7181169986724854,-2.7891652584075928,-1.6316524744033813,-2.9049243927001953,-2.114163875579834,-2.9138638973236084,-2.9138638973236084,-2.676424264907837,-1.536607265472412
2020-03-29,-2.027561902999878,-3.0874745845794678,-1.4306704998016357,-2.304955244064331,-1.8633157014846802,-2.4332921504974365,-2.014268159866333,-1.5504759550094604,-1.4074256420135498,-1.4441837072372437,-2.3830742835998535,-1.7483140230178833,-2.903607130050659,-1.7466295957565308,-2.910724401473999,-2.910724401473999,-2.1726701259613037,-1.7442293167114258
2020-03-30,-2.091840982437134,-2.593329668045044,-1.3561056852340698,-1.6409614086151123,-1.443551778793335,-2.343611717224121,-1.6190049648284912,-1.5300710201263428,-1.2590652704238892,-1.2927013635635376,-1.7746045589447021,-1.1015124320983887,-2.6273574829101562,-1.746289849281311,-2.6312668323516846,-2.6312668323516846,-1.5309003591537476,-1.8651129007339478
2020-03-31,-1.7780654430389404,-1.842934489250183,-1.3967082500457764,-1.7565412521362305,-1.430350661277771,-2.1702475547790527,-1.7116544246673584,-1.9146431684494019,-1.3727965354919434,-1.4086676836013794,-1.3388383388519287,-1.4600162506103516,-2.142615795135498,-1.851544976234436,-2.137148141860962,-2.137148141860962,-1.5801444053649902,-1.758537769317627
2020-04-01,-0.6461778283119202,-2.162606954574585,-1.4354537725448608,-1.6457880735397339,-1.61748468875885,-1.7204052209854126,-1.7092465162277222,-1.7031296491622925,-1.6005524396896362,-1.5989131927490234,-2.035337448120117,-0.9056478142738342,-2.2985689640045166,-1.980939507484436,-2.3232815265655518,-2.3232815265655518,-1.6055363416671753,-0.7240958213806152
2020-04-02,-1.0305356979370117,-2.405810594558716,-1.414976716041565,-1.7232356071472168,-1.1371990442276,-1.5637842416763306,-1.5731136798858643,-0.8571921586990356,-1.1315864324569702,-1.1234729290008545,-2.107339859008789,-0.8359802961349487,-2.1323599815368652,-2.2378416061401367,-2.1464498043060303,-2.1464498043060303,-1.9076932668685913,-0.9670888185501099
2020-04-03,-1.305312991142273,-2.497565269470215,-1.2276115417480469,-1.9860825538635254,-1.113157033920288,-1.3849507570266724,-1.6260192394256592,-0.8049713969230652,-0.7603510022163391,-0.7690213322639465,-2.2797505855560303,-0.5410362482070923,-1.9447964429855347,-2.3538196086883545,-1.9743846654891968,-1.9743846654891968,-2.037874698638916,-1.1684268712997437
2020-04-04,-1.113966464996338,-2.4952409267425537,-1.312821865081787,-1.9074238538742065,-1.9368786811828613,-1.404604196548462,-1.9188488721847534,-1.9207855463027954,-1.6994236707687378,-1.7173651456832886,-2.52866530418396,-1.8038636445999146,-1.7283848524093628,-2.3838508129119873,-1.7384380102157593,-1.7384380102157593,-1.8864703178405762,-1.0323938131332397
2020-04-05,-0.9459265470504761,-1.8301241397857666,-1.191300868988037,-1.918784737586975,-1.9634970426559448,-1.1272833347320557,-2.078111171722412,-1.673302412033081,-2.2119898796081543,-2.2114710807800293,-2.1177871227264404,-1.3484516143798828,-1.5596470832824707,-2.050140142440796,-1.5741976499557495,-1.5741976499557495,-1.8425843715667725,-0.7935064435005188
2020-04-06,-0.8179680109024048,-2.322563886642456,-1.0482820272445679,-1.561090350151062,-1.0138330459594727,-1.183875560760498,-1.3546849489212036,-0.6483582258224487,-1.029724359512329,-1.0441722869873047,-1.8250867128372192,-0.3705142140388489,-1.3325670957565308,-1.7535570859909058,-1.3410100936889648,-1.3410100936889648,-1.6763702630996704,-0.834567666053772
2020-04-07,-0.7249814867973328,-2.2951371669769287,-0.8987650871276855,-0.3676026463508606,-0.7190951108932495,-0.8685657978057861,-0.36461636424064636,-0.7152336239814758,-0.6708020567893982,-0.6565718650817871,-1.6938631534576416,-0.6758624315261841,-1.2852449417114258,-1.450629472732544,-1.3022795915603638,-1.3022795915603638,-0.2970864176750183,-0.7746948003768921
